"BL1-A","BL1-H","BL1-W"
51561,23294,97
57538,24656,104
53284,24619,100
46503,21556,97
52175,23342,101
47478,21247,100
46886,21778,100
54962,23884,102
49025,22794,97
50965,23135,101
46926,20741,95
52475,23886,104
799407,360287,118
46851,21647,96
50975,22249,100
48215,21821,101
50873,23438,104
54700,23370,105
50835,23304,102
44373,19845,97
46920,21964,98
59695,25148,107
48831,21842,98
48219,21379,95
50147,22322,102
58335,25044,107
50009,23651,98
50083,23591,100
56014,23994,109
46952,19821,103
45231,21649,93
54353,23121,98
43935,20056,93
51441,22749,107
44321,20863,95
52439,23528,103
51191,23828,101
46570,21445,98
45453,20409,101
49294,22691,99
884921,382898,121
48069,21778,98
54115,24026,104
58518,24746,108
46861,21605,100
50504,22930,99
51144,22778,102
62296,26573,106
48874,22913,98
50028,23337,99
45308,21284,94
49604,22981,101
46884,21422,97
55095,24310,105
51747,23715,104
44971,20805,98
43319,20212,93
42795,18914,97
43981,20905,96
50655,22811,103
47534,22028,100
48212,21433,97
50112,21962,102
46280,20681,99
51383,23506,103
47863,21763,100
46453,20908,98
51002,23996,99
48747,21900,101
49287,23115,96
51663,23504,99
51213,22928,102
48503,21920,101
51510,23038,101
48837,22538,101
58202,23821,103
50908,22100,101
51611,23505,102
47894,22030,101
806181,363875,118
46606,20990,101
48730,22810,98
56781,23704,104
51421,22353,100
51018,23186,103
46584,21404,98
49971,22842,100
44205,19870,96
50865,23547,102
48664,22856,97
54256,23992,102
51878,22947,104
46880,21217,99
65010,28108,109
47522,21515,100
50941,22967,103
49060,22099,102
50403,22764,101
51740,22368,102
48273,22176,96
45103,21155,98
49989,21949,101
46014,20782,98
51097,22286,103
54151,23585,103
55934,25525,103
62304,27022,107
48930,22786,96
49113,22715,100
62753,26389,110
49733,22456,101
41161,17895,95
51598,23575,101
790969,357246,119
49704,22568,100
46841,21539,101
63421,26401,110
46934,21520,99
51471,23855,102
48460,22061,99
57612,24731,109
57318,25200,108
51464,23427,102
49139,22055,101
49589,22794,98
46314,21718,95
50250,22394,101
51467,23605,101
57442,24602,106
51468,22649,103
50086,21642,102
45764,21011,97
52293,22884,104
48809,20892,104
48630,22202,100
52125,22561,101
58280,26789,104
51083,23693,101
51370,23539,102
50893,22529,103
49813,22634,101
50378,22946,102
48871,22376,98
51812,22291,103
47705,22054,97
49148,22950,101
59059,26458,105
51659,23187,104
54033,22885,103
52503,23723,101
55171,23568,105
50069,23152,100
51200,23642,102
51283,23406,100
52441,23019,103
56464,24777,106
50377,23289,100
44439,19654,97
50756,23056,102
730809,328656,112
49467,22876,100
50001,22794,102
49327,23031,97
51525,23356,103
50741,23356,102
61232,25640,109
56087,24473,106
48471,22334,100
52759,23343,102
49447,22491,102
49322,22587,102
45253,20925,98
61147,26794,108
50933,23138,102
52604,23860,100
49258,22436,100
56863,24811,106
51082,23596,101
53006,24411,103
47269,21475,98
49293,22750,99
52127,22757,103
52127,24004,101
47288,21368,101
52151,23701,102
52841,21612,104
44504,20215,99
54659,23602,100
50988,22982,103
783108,350828,117
50877,23610,98
50465,22915,100
51597,22874,100
50883,24026,99
46289,21065,101
45805,20714,94
44685,20247,100
50743,22105,103
55688,24299,105
49134,22480,101
59946,24664,108
46907,21552,99
49645,22657,102
49030,22264,101
44191,19645,99
61083,26308,107
45215,21258,94
48839,21601,101
53289,23174,101
47492,21994,96
49946,22646,98
47245,21537,99
49334,22093,99
49436,23141,100
54903,24847,103
52179,22379,102
51198,22659,102
53361,21593,107
49530,22666,100
48841,21875,103
51010,22914,100
46563,21463,98
55753,24108,103
45552,20335,98
46860,21634,99
49100,22526,100
52074,22742,101
48104,21945,100
46857,21988,100
52186,23329,103
49283,22844,101
48527,21506,103
50134,22696,102
50513,23674,100
48945,21913,102
50131,23391,99
60902,25762,109
52303,23770,101
51486,23043,103
50056,23296,101
47140,21238,100
52063,23730,103
45022,21323,95
46408,21442,98
57874,25112,108
54196,23758,107
53628,24123,102
50603,22303,105
47993,21071,100
52272,23918,102
49460,23109,100
66414,28337,108
47672,22138,98
47658,21432,100
53243,22976,103
57505,24583,105
42793,19548,93
48478,22216,100
45460,21029,100
48731,22299,103
54822,24616,104
50944,23126,103
55834,23996,106
50129,22500,103
45447,20346,96
50056,22741,99
47888,21892,102
46594,21420,101
53925,24867,101
58578,25335,107
51710,22863,101
46487,22045,98
50130,22345,103
49308,21697,103
51544,23308,102
51504,23197,103
55249,23944,106
52311,23701,99
45959,21022,97
48721,22383,101
48525,21646,102
45888,21656,96
46531,21321,97
45287,20313,97
59213,25309,104
47848,21873,100
48535,22502,96
49128,22423,102
56310,24451,106
58345,24757,109
55435,23980,106
50400,22194,101
46387,21056,98
46179,20560,96
61778,26266,109
49078,22450,99
57664,24755,108
55404,24355,106
46512,21018,101
49101,22343,102
46977,20602,100
50439,21711,104
44864,21025,96
52646,23726,103
50343,23237,100
46731,21403,98
51361,22979,99
48564,22274,99
45605,20249,101
42289,18719,96
42433,18474,99
58531,25558,107
46744,21260,99
48986,23057,99
47838,21305,99
797598,361981,115
64557,27205,109
56092,24106,107
53072,23762,103
51091,23140,104
42563,18805,97
50164,22507,102
51314,23017,103
60443,25695,105
50595,23429,100
49762,23108,100
45661,20851,97
47228,21540,97
47625,22382,99
48732,22175,102
53917,23152,105
59686,26180,106
48082,20968,102
48476,22499,94
48646,22250,99
49554,22024,102
53636,23767,104
55545,24078,106
51714,24041,101
52044,22677,102
50918,23360,102
53576,25075,102
55892,24373,108
48398,22226,102
50962,23631,100
49409,22633,101
50785,22890,101
45299,20456,99
55295,23833,104
48007,21738,97
95447,24338,184
49816,22066,102
50851,21565,104
46754,21043,99
48931,21938,99
47903,21969,96
49840,22716,101
48066,22331,98
49267,21784,102
60461,25971,109
49023,22335,98
51863,23620,102
57425,25103,107
57629,24428,106
50698,22740,104
48421,21953,98
46841,21071,101
51215,23680,99
51637,23156,103
52810,24353,100
48708,21917,102
46488,20017,97
49988,23043,99
44588,20266,98
45380,20252,96
50096,23221,101
47927,21682,100
751276,340314,115
51699,24253,102
47760,22112,99
46518,21076,101
48538,22231,102
57105,24519,101
50172,22034,101
60554,26324,108
49387,22251,99
57781,24548,106
55525,25816,101
54981,24148,107
49713,22885,102
56107,24168,102
45709,20803,96
60357,26226,107
48014,22060,101
50078,22491,102
62900,26853,107
57557,24977,106
56015,25026,105
47606,21627,99
50033,23171,102
45185,21021,97
47288,22095,98
50148,22635,98
53389,23835,105
59184,25509,107
57659,25183,106
54072,24214,103
49149,22302,103
51875,23550,103
56984,24066,104
48585,22217,100
46904,21219,101
48491,20939,100
51730,23225,102
47357,20764,98
47169,21764,99
50606,23244,102
52288,23256,103
46008,21051,102
48048,21406,100
57088,24918,107
42654,19498,94
51422,23065,101
43704,19724,96
47339,21198,101
49963,22437,101
51439,23230,103
50500,22813,102
46363,21754,95
61057,25899,105
47722,21419,100
