"488nm525-40-A","488nm525-40-H"
7019.6,7339.9
1910.3,2303.4
5078.1,5106
1196.9,1317
811.1,985.7
11773.7,11261.6
587.4,1070.3
1856.5,1593.4
2134.5,2049.7
5253.7,4921.7
1668.2,1501.4
1197.1,1189.9
1669.9,1944.7
3194.2,3069.1
1037.1,1296.4
1946.2,1748.6
907.6,1210.7
144497,139936
4386.5,4230.7
5172.7,5010.5
3557.1,3335
1664.3,1797.9
1851.6,2033.7
1986.9,2472.2
2924.2,2946.5
5019,4788.8
9500.2,9210.6
1940.3,1917.3
931.5,1262.6
4359,4295.5
2474.4,2066.2
2034.1,2274.7
3187.3,3393.8
5212.4,5171.6
1599.1,1770.4
5641.3,5325.2
2372.5,2868.5
2159.8,2571.8
7937.8,8067.4
1889.6,1783
1689.6,1731.1
1055.6,1284.9
2293,2712.3
2772.5,2814.9
4991.2,4665.9
852.9,1329.7
1750.8,1980.8
3714.3,3903.6
26306.6,26512.2
1032.9,1131.7
7823.4,7804.9
1348.9,1603.9
526.4,860.1
1741,1940
50782.3,46390.3
2459.1,2610.4
13865.1,13079.4
14046.4,13285.4
1560,1416.5
1357.7,1473.2
527.3,632.3
1280.2,1602.4
812.2,1494
790.5,1225.7
410.1,878.2
8136.1,8427.2
1520.2,1706.1
1954.6,1724.2
4884.2,4971.6
3907.2,4437.7
8163.7,8228.8
4134.7,4209.3
2952.3,2884.9
2347.7,2509.8
649.5,1056.1
3651.2,3675.2
3084.1,3065.8
3262.7,3378.6
3666.1,3373.9
6443.4,5681.4
4420.7,4597.8
838.1,1719
350.4,886.2
755.5,1083.7
16345.6,16070
2516,2894.1
1659.8,1628
3120.1,3142.7
389.2,690.5
6866.7,7122.9
3834.4,3948.5
3890.2,4468
2523.7,2623.9
11587.7,11186.1
41554,40555.3
309.1,553.7
2984.9,3430.3
3153.1,2670.2
987.2,629.3
2394.8,2361.1
16555,16113.4
1383.2,1705.7
2535.2,2697.7
1303.7,1325.4
4237.6,4226.1
12062.7,12156.4
1567.7,1597.1
735.1,978.8
1165.7,1084.6
379.4,568.2
8911.9,8846.6
2400.5,2638.7
3270.5,3817.4
2770.7,2930.5
632.1,913.7
10067.9,6601.4
2625.7,2018.6
86.9,788.6
2342.5,2614.8
2412.7,2511.3
1876,2022.6
5567.3,3206
1291.8,1667.1
-21.1,613.8
302.4,722.1
6125.1,6340.2
3722.8,3969.8
3256.7,2690.8
5207.6,5402.2
2141.3,2253.2
2332.3,2577.8
1611.3,1993.3
3579.5,3452.5
