"488nm525-40-A","488nm525-40-H"
210813,168255
184528,190468
143278,128813
182520,187142
312750,317258
149247,141347
248816,242665
113646,110364
157691,151654
280771,281283
829551,612240
155189,155844
115486,106932
143521,135707
83402.9,81456
132224,127246
153439,151410
149008,147010
79509.1,81680.6
152677,150873
64750.3,63471.4
63112.9,61349.5
129394,126798
220310,209576
133068,131988
106716,104719
373280,359889
330203,235992
360515,340302
75271.5,76408.1
67135.7,67481.1
433304,432293
101854,99053.8
108995,103322
105877,106404
220317,212377
148421,142777
179351,180658
131531,129564
522203,517605
136099,132130
67908.2,66246.4
109227,105982
188018,187266
107381,107432
152511,150240
123447,120654
76108.4,74426.5
651284,632297
145916,143432
137681,135679
144916,128282
29905.4,30275.5
175096,168851
149921,148289
152671,153432
179730,168882
135371,129397
146978,146394
179858,173704
428515,418202
211097,208378
369440,360277
157589,150614
103238,100432
266123,250634
383552,211568
48927.4,48246.7
126862,117180
123761,123317
104887,106702
419623,406020
148381,143362
781830,775752
118347,119725
111753,105560
101996,96385.9
407443,379244
97073.8,96039.6
163681,167059
130316,126221
321762,309190
188881,188602
341471,350574
165997,160653
337940,175266
286067,286708
244029,248968
201442,201568
208531,200930
100678,100110
444958,436370
293266,280875
365249,353548
143745,142888
79260.3,79793.7
220207,192452
210131,209806
163822,158358
49050.5,44360.1
162036,161257
145008,141081
451472,215900
88949,90543
195514,192381
94479.8,97107.5
143452,142379
175113,176728
137302,133046
193570,192038
155630,153462
67100.1,65401.8
154332,147770
166324,165544
163191,159251
203848,195297
210248,111039
62350.4,61918.2
195322,195427
121938,119085
508032,292266
133632,129902
185881,186327
70289.7,61430
160202,148955
102606,104086
91063.9,91476.7
472621,473383
52826.9,51771.7
274125,271158
162847,155974
105579,104955
113309,115156
182894,173474
180926,174860
292397,283472
200298,189857
560194,443799
443724,444452
180071,175667
253381,250679
92517.3,93041.7
134468,133453
146876,137991
160484,155095
171738,173363
225088,224428
146293,133719
178649,172000
83780.5,84742.4
156155,154897
160432,156460
174439,167944
149612,147447
181712,171050
141051,139636
83328.5,86056.9
93573.2,98514.5
132325,134541
107254,107016
67393.8,68008.1
119467,117406
179506,169599
114293,116838
203153,188391
169738,173947
170950,167712
166298,165983
79867.7,74978.2
166405,164606
239341,235368
144101,144231
110229,105208
165740,157024
37998.8,37831.4
99022.8,100137
141165,141606
190329,180603
108814,106587
74910.8,76900.2
119938,122341
125564,116807
67539.6,69124.3
218240,216034
113280,111609
168531,170426
151047,150741
622976,501398
88471.3,87414.3
107567,107443
194694,197778
107195,108814
118875,114725
238255,234438
155493,155576
316752,160298
132714,129902
123446,125190
88013.5,88981.1
90772.1,89974.3
165618,161992
140164,138579
202666,194783
243420,227168
108531,107837
77121.9,76804.9
197728,196072
115414,116205
155122,153485
125424,111998
177250,174596
85180.4,83344.3
114990,111259
155080,155444
89806.3,89293
152447,155641
200414,191687
100523,101947
289983,177362
164854,163940
108110,106306
195774,163738
392001,321996
216991,207262
153224,146318
111224,109484
129020,127398
100032,99431
647014,654658
140100,137658
51747.5,51384.9
171866,167084
145692,146461
33571.6,32056.2
161007,148890
137327,136512
250833,129517
233207,226082
114115,110414
702060,672562
103391,103139
185153,171573
181491,177410
83310.1,84511.4
106090,102950
283388,266310
112609,110044
164372,162779
200556,191265
352910,358205
352522,341950
34586.7,34183.9
115373,108067
93170.8,93823.2
304261,241722
95513.4,95382.6
153438,152660
297220,292977
164460,152504
25810.5,26592.2
292658,278816
76529.4,76576.3
163561,166536
155668,155211
134824,133707
121654,118747
160036,155969
358645,361690
671409,654854
120868,119440
89731.4,87132.9
120429,118421
114624,99093
90484.9,91229.1
80291,72689.6
177792,166476
168656,167719
130967,127464
139881,135560
281082,274158
506810,337550
150300,146372
147582,142205
137870,137814
146010,143482
133135,131313
139509,126569
167321,166960
103307,103368
201443,199813
216305,208655
137060,135824
107355,108892
218994,215182
108673,109392
136139,136294
92029.9,93526.7
588226,501284
153406,148433
182121,178635
160350,160941
127902,122918
94557.3,93990.1
128742,126254
83597.2,80602.8
291373,275636
166029,159745
193954,185754
164555,164596
107521,106859
130606,130730
107185,104386
166620,165670
134324,111174
97972.3,95254.9
119437,113902
179356,176352
144682,139645
54441.7,53249
58152.3,58537.1
63248.6,63927.5
126127,127290
50626.8,51559.2
212814,210122
126635,123399
73284.8,72033.4
93567.6,93525.5
147104,131735
169582,166233
145908,139465
142352,140539
462507,296794
98509.4,99115.1
171255,169414
208023,207999
186590,187620
130944,129290
104818,102852
347951,332697
155101,160117
172459,167199
145396,134534
140028,140029
88353.4,87906.5
129328,131315
319012,189811
84137.9,78757.9
152880,144183
131951,125396
93650.9,94423.7
136668,134821
173939,172280
181752,158933
165517,159766
90693.9,91138.5
126588,123272
153775,146030
369091,353503
397614,397630
102413,91998.6
338885,179117
167060,164867
432174,422640
35450.8,36227.9
165999,162796
128430,127198
152362,157037
221166,220594
103072,103794
157735,152759
149499,150504
132547,134788
90431.5,92354
88761.6,86598.6
354741,186608
737068,714322
100304,84656.2
114746,116150
140332,136854
130410,123743
129245,125782
169557,168406
267722,275198
166344,159994
158157,159523
155046,148529
156017,156229
335411,309006
140834,136934
84173.3,82590.1
167749,163159
125464,123666
110821,95555.1
71661.6,72874
183287,173563
110694,108637
191277,194257
699058,461335
120920,123375
143284,140994
142680,138063
293156,166376
111954,109783
304106,297534
104403,102597
163688,165382
88067.6,86915.3
178705,177152
192130,184729
128756,126073
109825,113297
143521,141230
119686,120816
72199.7,71968
83091.7,81666.3
163990,160082
111075,109373
129606,125238
155149,148874
99366.8,98848.7
279907,270334
201679,193340
193863,193676
71852.3,72264.8
130989,132469
159608,150610
169272,162878
130261,129023
91487.9,93253.1
530034,515497
191691,189532
345490,193630
111160,107350
156766,155012
94728.4,83774.6
122254,124321
165413,166139
85428.4,85752.2
210765,211776
378996,371215
97201.8,94279.3
128375,121852
146172,139047
322743,176953
415555,418911
101568,98568.3
177266,174846
116217,111696
76198.9,71328.4
111392,110186
104878,107534
56061.7,55845.5
86971.1,87157.2
131787,127913
91079.5,89306.8
175109,173147
113334,112181
143373,139973
152751,152488
130159,131620
429263,290744
169679,176737
210591,214742
299381,298036
119923,122184
115335,114946
262063,262675
169846,163722
95184,91609.4
152308,155084
163317,157735
145189,140435
165607,161944
184164,187271
152182,154758
268812,249030
93942.9,91707.5
190569,149302
335243,216329
142930,141529
58885.9,57885.5
237580,230424
127977,127392
217827,217402
107671,104848
276846,144183
91504.8,91137.4
99216.5,97479.9
419952,426825
220157,215466
93181.5,89165.8
94818.5,86542
64775.4,63416.8
141007,141071
59690.8,60800.7
293172,298427
232323,235248
218950,205443
102040,105355
154368,150241
31271.1,32641.5
349212,261039
149834,145576
146762,150507
118014,115078
52260.2,52221.7
562084,546722
248125,245673
96247.5,90463.3
131396,132658
109608,106535
222147,221444
145204,138383
74207.6,70831.2
656070,650779
211268,198472
129206,125384
455556,437678
157922,156720
194093,189462
125715,119618
573676,569495
177957,172636
99204.6,85181.2
102892,101409
174548,170338
123818,119458
225550,224353
171105,164195
148252,146514
354527,344160
148721,146139
503309,499672
225214,221562
75501.9,75971.2
